variavel,mutual_information,rank_mi,importancia,qtd_features_geradas,rank_importancia,ranking_medio,mi_norm,imp_norm,score_combinado,score_combinado_duplo_impacto
risco_medio_historico,0.04125918639672488,1.0,55073.2497292161,1,1.0,1.0,0.999999975762974,0.9999999999999819,0.9999999878814779,0.9999999757629559
o,0.027633998478427117,3.0,51216.294645667076,3,2.0,2.5,0.6697659411639475,0.9299668150596921,0.7998663781118198,0.6228600991396934
categoria_risco,0.03877884633387141,2.0,29444.713776230812,1,3.0,2.5,0.9398839090308803,0.5346463831534168,0.7372651460921485,0.5025055325474552
distancia_cluster_0,0.018705989094022435,4.0,5301.481747686863,1,15.0,9.5,0.45337754508241485,0.09626237372504924,0.27481995940373205,0.043643198683268776
l,0.013938203991124887,7.0,6692.064099431038,1,9.0,8.0,0.3378206133122072,0.12151206134256516,0.22966633732738617,0.041049279087575906
produto_risco,0.016865668157886482,5.0,55.48962998390198,1,38.0,21.5,0.40877363860116317,0.001007560480936428,0.2048905995410498,0.0004118641639031216
m,0.009321587385685559,12.0,8891.226358175278,1,4.0,8.0,0.2259275563538001,0.16144364826647162,0.19368560231013587,0.036474568941686346
pais_risco,0.01474456044746919,6.0,890.8242359757423,1,28.0,17.0,0.3573642957553643,0.016175261862260294,0.18676977880881232,0.005780461064065253
freq_categoria,0.009529980271960836,11.0,6218.452665805817,1,11.0,11.0,0.23097838016842084,0.11291239751386678,0.1719453888411438,0.026080322678685777
f,0.011032141084342806,9.0,4159.128441989422,1,18.0,13.5,0.2673862909190143,0.07551993867147717,0.17145311479524572,0.020192996291797712
mes,0.013563875408592718,8.0,530.4450504779816,1,30.0,19.0,0.32874800170372254,0.009631627933453388,0.16918981481858797,0.0031663784362765558
d,0.008271309779691594,13.0,3411.0526865124702,1,21.0,17.0,0.2004719506508789,0.06193665170085035,0.13120430117586462,0.012416561383253547
n,0.009553500718907329,10.0,1277.3961505293846,1,26.0,18.0,0.23154844585392098,0.023194493820685304,0.12737146983730313,0.005370648996548056
b,0.004548250904344631,17.0,6806.430483460426,1,6.0,11.5,0.11023607567961136,0.12358868446888698,0.11691238007424917,0.013623931574255833
monto,0.004303447110119318,19.0,6693.384142577648,1,8.0,13.5,0.10430275974026873,0.1215360302050002,0.11291939497263447,0.012676543358258179
monto_por_palavra,0.003769737505520565,23.0,6770.51313239336,1,7.0,15.0,0.09136722614706183,0.12293651029642277,0.1071518682217423,0.011232367937983856
hora,0.003986832338495949,21.0,6341.203329563141,1,10.0,15.5,0.09662895927059438,0.11514125933627352,0.10588510930343395,0.011125980058769719
produto_freq,0.006890379940366342,14.0,2186.23293364048,1,23.0,18.5,0.16700231815310293,0.03969682095009284,0.10334956955159788,0.006629461121974166
c,0.003013817061638502,25.0,7042.743818461895,1,5.0,15.0,0.0730459626521325,0.1278795758937324,0.10046276927293245,0.00934108672470412
distancia_cluster_1,0.003912384353267795,22.0,5389.697685480118,1,13.0,17.5,0.09482456151277369,0.09786416657778615,0.09634436404527992,0.009279926683551614
p,0.005943045551023568,16.0,1136.3899488449097,1,27.0,21.5,0.14404174987448545,0.02063415459287923,0.08233795223368234,0.002972179734738975
cluster,0.0063309373142014964,15.0,97.22239685058594,2,37.0,26.0,0.15344309264568892,0.0017653288543640845,0.0776042107500265,0.0002708775189502961
h,0.0019046988884073384,27.0,5967.836762189865,59,12.0,19.5,0.046164236587910405,0.10836180525994724,0.07726302092392882,0.005002440015113278
log_monto,0.004465189128904257,18.0,2312.33943939209,1,22.0,20.0,0.1082229052639728,0.04198661692856964,0.07510476109627122,0.004543913666215309
e,0.003043248312762703,24.0,3980.6733607649803,1,19.0,21.5,0.073759288652502,0.07227961633528192,0.07301945249389197,0.005331293084966158
produto_qtd_palavras,0.004115500132548133,20.0,1780.6850609183311,1,25.0,22.5,0.0997474839476557,0.032333030458045656,0.06604025720285067,0.003225138436592972
produto_tamanho,0.0027659197654359424,26.0,3411.7103061676025,1,20.0,23.0,0.06703766942476184,0.061948592518912944,0.0644931309718374,0.004152889266612161
a,0.0018277593731010622,29.0,4627.047685563564,4,16.0,22.5,0.04429945155066598,0.08401624578745084,0.06415784866905841,0.0037218736097300235
dia,0.0015199873084448257,31.0,4193.670199275017,1,17.0,24.0,0.036839972000163076,0.07614713531332107,0.05649355365674207,0.002805258332835377
k,0.0005866803766336748,38.0,5363.707164406776,1,14.0,26.0,0.014219387575244513,0.09739224016703082,0.05580581387113767,0.0013848580097563078
dia_semana,0.001827981877875029,28.0,1823.4412299394608,1,24.0,26.0,0.044304844404670286,0.03310938139486802,0.03870711289976915,0.0014669059910345128
categoria_rara,0.0017224905938911204,30.0,422.7566080093384,1,31.0,30.5,0.04174804940603,0.007676260436562913,0.024712154921296456,0.0003204688999591819
g,0.001431449182139875,33.0,584.4623166322708,17,29.0,31.0,0.03469407112592582,0.01061245376849817,0.022653262447211994,0.00036818922586487503
madrugada,0.0012759850357268732,34.0,393.3938534259796,1,32.0,33.0,0.03092608255847908,0.0071431022385679,0.019034592398523488,0.0002209081695536076
monto_alto,0.0014668781399842373,32.0,29.37772035598755,1,41.0,36.5,0.03555276370035046,0.0005334299410409092,0.018043096820695683,1.8964908644519323e-05
produto_raro,0.001066836072524037,35.0,206.79179048538208,1,36.0,35.5,0.025856933687664473,0.0037548499771146836,0.014805891832389579,9.708890686538284e-05
produto_muito_raro,0.000836612982679466,36.0,259.772869348526,1,35.0,35.5,0.020277010660318426,0.004716861100911447,0.012496935880614936,9.564384282642271e-05
hora_comercial,0.0006192969571376522,37.0,317.07496190071106,1,34.0,35.5,0.015009916486789837,0.005757331616704989,0.010383624051747413,8.64170667534966e-05
monto_baixo,0.0004784856516916805,39.0,30.578490257263184,1,40.0,39.5,0.011597069207661185,0.0005552330833500984,0.0060761511455056415,6.4390764939942024e-06
produto_tem_numero,1.1833726323851046e-07,41.0,348.7885197401047,1,33.0,37.0,2.868143332553951e-06,0.006333174843595033,0.0031680214934637933,1.8164453201555505e-08
fim_semana,1.0327107132009072e-05,40.0,46.85251009464264,1,39.0,39.5,0.0002502983646456602,0.0008507308053366379,0.000550514584991149,2.1293652932944598e-07
