Origem Score;Base Avaliada;Decil Acumulado;Top Acumulado;Percentual Teórico;Threshold Score Risco;Threshold Score Original;Total Base;Selecionados para Bloqueio;% Real Selecionado;TP - Fraudes Bloqueadas;FP - Legítimas Bloqueadas;FN - Fraudes Aprovadas;TN - Legítimas Aprovadas;Precisão;Cobertura;F1;AUC Global;Average Precision Global;KS Global;Balanced Accuracy;Erro_por_Acerto;Lift;Receita Comissão;Perda com Fraude;Comissão Perdida por Bloqueio;Lucro Líquido;Lucro Aprovar Tudo;Ganho vs Aprovar Tudo;Ganho Percentual vs Aprovar Tudo
Score Atual;Teste;1;Top 10%;0.1;88.0;88.0;22500;2320;0.10311111111111111;487;1833;638;19542;0.20991379310344827;0.4328888888888889;0.2827285921625544;0.7226314230019493;0.18510638493771697;0.4384561403508772;0.6735672514619884;3.7638603696098563;4.198275862068965;78665.96000000002;49768.32;10916.497000000001;28897.64000000002;-4804.122999999992;33701.76300000001;7.015174882075264
Score Atual;Teste;2;Top 20%;0.2;78.0;78.0;22500;4610;0.2048888888888889;690;3920;435;17455;0.14967462039045554;0.6133333333333333;0.24062772449869224;0.7226314230019493;0.18510638493771697;0.4384561403508772;0.7149707602339181;5.681159420289855;2.9934924078091107;67612.365;27532.16;21970.092;40080.205;-4804.122999999992;44884.327999999994;9.342876525018212
Score Atual;Teste;3;Top 30%;0.30000000000000004;68.0;68.0;22500;6919;0.3075111111111111;799;6120;326;15255;0.11547911547911548;0.7102222222222222;0.19865738438587768;0.7226314230019493;0.18510638493771697;0.4384561403508772;0.711953216374269;7.659574468085107;2.3095823095823094;57790.76699999999;22332.03;31791.690000000002;35458.736999999994;-4804.122999999992;40262.859999999986;8.380896992021238
Score Atual;Teste;4;Top 40%;0.4;58.0;58.0;22500;9222;0.40986666666666666;831;8391;294;12984;0.09011060507482108;0.7386666666666667;0.16062626848361844;0.7226314230019493;0.18510638493771697;0.4384561403508772;0.6730526315789473;10.097472924187725;1.8022121014964214;48614.950000000004;19704.6;40967.507000000005;28910.350000000006;-4804.122999999992;33714.473;7.017820526243822
Score Atual;Teste;5;Top 50%;0.5;48.0;48.0;22500;11409;0.5070666666666667;855;10554;270;10821;0.07494083618196161;0.76;0.13642891335567256;0.7226314230019493;0.18510638493771697;0.4384561403508772;0.6331228070175439;12.343859649122807;1.498816723639232;40834.10800000001;18085.28;48748.34900000001;22748.82800000001;-4804.122999999992;27552.951;5.735271765523082
Score Atual;Teste;6;Top 60%;0.6;38.0;38.0;22500;13666;0.6073777777777778;868;12798;257;8577;0.06351529342894775;0.7715555555555556;0.11736867013724563;0.7226314230019493;0.18510638493771697;0.4384561403508772;0.5864093567251462;14.744239631336406;1.270305868578955;32956.31800000001;17239.25;56626.138999999996;15717.068000000007;-4804.122999999992;20521.191;4.2715790166072
Score Atual;Teste;7;Top 70%;0.7000000000000001;28.0;28.0;22500;15856;0.7047111111111111;876;14980;249;6395;0.05524722502522705;0.7786666666666666;0.10317413579883399;0.7226314230019493;0.18510638493771697;0.4384561403508772;0.5389239766081871;17.100456621004565;1.1049445005045408;24623.759000000005;17062.64;64958.698000000004;7561.119000000006;-4804.122999999992;12365.241999999998;2.5738812266047346
Score Atual;Teste;8;Top 80%;0.8;18.0;18.0;22500;18069;0.8030666666666667;953;17116;172;4259;0.05274226575903481;0.8471111111111111;0.09930186516619777;0.7226314230019493;0.18510638493771697;0.4384561403508772;0.5231812865497076;17.9601259181532;1.0548453151806962;16523.100000000002;9924.46;73059.357;6598.640000000003;-4804.122999999992;11402.762999999995;2.3735368557382928
Score Atual;Teste;9;Top 90%;0.9;8.0;8.0;22500;20346;0.9042666666666667;1052;19294;73;2081;0.051705494937579866;0.9351111111111111;0.09799264123701737;0.7226314230019493;0.18510638493771697;0.4384561403508772;0.5162339181286549;18.340304182509506;1.0341098987515973;8468.58;5316.339999999999;81113.87700000001;3152.2400000000007;-4804.122999999992;7956.362999999993;1.6561530585291022
Score Atual;Teste;10;Top 100%;1.0;-inf;-inf;22500;22500;1.0;1125;21375;0;0;0.05;1.0;0.09523809523809523;0.7226314230019493;0.18510638493771697;0.4384561403508772;0.5;19.0;1.0;0.0;0.0;89582.45700000001;0.0;-4804.122999999992;4804.122999999992;1.0
